"Time","prequal","wrr"
2026-05-23 15:13:15,46,0
2026-05-23 15:13:30,43,0
2026-05-23 15:13:45,50,0
2026-05-23 15:14:00,45,0
2026-05-23 15:14:15,0,49
2026-05-23 15:14:30,0,50
2026-05-23 15:14:45,0,49
2026-05-23 15:15:00,0,48
2026-05-23 15:15:15,0,49
2026-05-23 15:15:30,0,48
2026-05-23 15:15:45,0,0
2026-05-23 15:16:00,43,0
2026-05-23 15:16:15,46,0
2026-05-23 15:16:30,44,0
2026-05-23 15:16:45,46,0
2026-05-23 15:17:00,50,0
2026-05-23 15:17:15,47,0
2026-05-23 15:17:30,0,0
2026-05-23 15:17:45,0,49
2026-05-23 15:18:00,0,50
2026-05-23 15:18:15,0,47
2026-05-23 15:18:30,0,49
2026-05-23 15:18:45,0,49
2026-05-23 15:19:00,0,48
2026-05-23 15:19:15,0,0
2026-05-23 15:19:30,48,0
2026-05-23 15:19:45,44,0
2026-05-23 15:20:00,44,0
2026-05-23 15:20:15,38,0
2026-05-23 15:20:30,46,0
2026-05-23 15:20:45,45,0
2026-05-23 15:21:00,0,49
2026-05-23 15:21:15,0,49
2026-05-23 15:21:30,0,50
2026-05-23 15:21:45,0,48
2026-05-23 15:22:00,0,48
2026-05-23 15:22:15,0,48
2026-05-23 15:22:30,0,0
2026-05-23 15:22:45,48,0
2026-05-23 15:23:00,45,0
2026-05-23 15:23:15,48,0
2026-05-23 15:23:30,47,0
2026-05-23 15:23:45,42,0
2026-05-23 15:24:00,38,0
2026-05-23 15:24:15,0,0
2026-05-23 15:24:30,0,48
2026-05-23 15:24:45,0,50
2026-05-23 15:25:00,0,50
2026-05-23 15:25:15,0,50
2026-05-23 15:25:30,0,50
2026-05-23 15:25:45,0,49
2026-05-23 15:26:00,38,0
2026-05-23 15:26:15,47,0
2026-05-23 15:26:30,25,0
2026-05-23 15:26:45,43,0
2026-05-23 15:27:00,42,0
2026-05-23 15:27:15,41,0
2026-05-23 15:27:30,0,0
2026-05-23 15:27:45,0,0
2026-05-23 15:28:00,0,0
2026-05-23 15:28:15,0,0